deposit_date,eft_trace,amount
2023-09-10,EFT-COMM1-202336-85,659.09
2023-09-17,EFT-COMM1-202337-86,483.42
2023-09-03,EFT-MCD-202335-15,125.71
2023-08-05,EFT-COMM2-202331-47,110.83
2023-08-26,EFT-COMM2-202334-15,558.23
2023-08-26,EFT-MCD-202334-15,46.11
2023-09-21,EFT-SELF-202338-78,-0.58
2023-09-03,EFT-COMM2-202335-89,372.47
2023-08-19,EFT-COMM2-202333-73,260.43
2023-08-26,EFT-MCR-202334-27,397.63
2023-09-15,EFT-MCR-202337-32,429.22
2023-09-07,EFT-COMM2-202336-55,261.64
2023-08-17,EFT-MCR-202333-85,92.38
2023-09-03,EFT-SELF-202335-83,-1.42
2023-09-30,EFT-MCR-202339-73,684.66
2023-09-03,EFT-COMM1-202335-13,382.78
2023-09-16,EFT-SELF-202337-99,-1.43
2023-08-20,EFT-COMM1-202333-91,375.68
2023-08-27,EFT-COMM1-202334-12,579.95
2023-09-24,EFT-COMM1-202338-26,780.92
2023-10-01,EFT-COMM1-202339-96,997.51
2023-09-10,EFT-MCR-202336-49,464.53
2023-09-01,EFT-MCR-202335-53,254.68
2023-09-16,EFT-COMM2-202337-65,458.02
2023-08-13,EFT-COMM2-202332-35,307.07
2023-09-10,EFT-SELF-202336-63,-1.03
2023-08-02,EFT-SELF-202331-49,-0.4
2023-09-21,EFT-COMM2-202338-10,228.98
2023-08-10,EFT-COMM1-202332-11,66.48
2023-08-15,EFT-SELF-202333-18,-0.58
2023-09-09,EFT-MCD-202336-76,122.76
2023-08-03,EFT-MCR-202331-61,83.84
2023-08-10,EFT-SELF-202332-53,-0.53
2023-08-13,EFT-MCR-202332-49,306.48
2023-08-25,EFT-SELF-202334-88,-0.52
2023-10-04,EFT-SELF-202340-38,-0.29
2023-08-12,EFT-MCD-202332-58,24.42
2023-08-20,EFT-MCD-202333-96,5.42
2023-10-21,EFT-COMM2-202342-36,427.36
2023-10-14,EFT-SELF-202341-97,-0.29
2023-09-24,EFT-MCD-202338-29,38.43
2023-10-20,EFT-SELF-202342-99,-0.42
2023-10-15,EFT-COMM2-202341-10,1008.63
2023-10-07,EFT-COMM1-202340-63,718.8
2023-10-07,EFT-MCR-202340-39,791.62
2023-10-14,EFT-COMM1-202341-75,1336.88
2023-10-22,EFT-COMM1-202342-72,773.03
2023-10-14,EFT-MCR-202341-95,620.75
2023-09-17,EFT-MCD-202337-67,95.49
2023-10-01,EFT-COMM2-202339-62,756.03
2023-10-22,EFT-MCR-202342-34,591.54
2023-10-07,EFT-COMM2-202340-55,639.55
2023-10-29,EFT-COMM1-202343-13,761.1
2023-10-28,EFT-MCD-202343-78,42.27
2023-09-29,EFT-SELF-202339-61,0.0
2023-09-21,EFT-MCR-202338-95,310.25
2023-10-22,EFT-MCD-202342-89,58.32
2023-10-13,EFT-MCD-202341-32,143.24
2023-09-26,EFT-MCD-202339-81,34.98
2023-10-05,EFT-MCD-202340-71,89.87
2023-11-05,EFT-MCD-202344-48,380.54
2023-10-28,EFT-COMM2-202343-99,364.64
2023-11-03,EFT-SELF-202344-81,0.0
2023-10-28,EFT-MCR-202343-40,456.59
2023-11-18,EFT-SELF-202346-45,0.0
2023-10-25,EFT-SELF-202343-17,0.0
2023-11-11,EFT-MCD-202345-89,221.61
2023-11-18,EFT-COMM1-202346-99,860.79
2023-11-25,EFT-MCR-202347-61,355.22
2023-11-25,EFT-MCD-202347-47,256.89
2023-11-19,EFT-MCR-202346-35,692.8
2023-11-05,EFT-COMM2-202344-27,818.29
2023-11-05,EFT-MCR-202344-32,674.91
2023-11-12,EFT-SELF-202345-44,0.0
2023-11-12,EFT-MCR-202345-76,372.64
2023-11-04,EFT-COMM1-202344-74,342.85
2023-12-02,EFT-MCR-202348-83,1197.55
2023-12-03,EFT-MCD-202348-96,170.68
2023-11-11,EFT-COMM1-202345-86,545.43
2023-12-03,EFT-SELF-202348-29,0.0
2023-11-19,EFT-MCD-202346-15,179.19
2023-11-25,EFT-COMM1-202347-98,287.83
2023-12-03,EFT-COMM1-202348-26,748.84
2023-11-16,EFT-COMM2-202346-91,382.74
2023-11-11,EFT-COMM2-202345-40,315.25
2023-11-21,EFT-SELF-202347-96,0.0
2023-12-17,EFT-COMM1-202350-27,964.59
2023-12-23,EFT-COMM1-202351-82,740.95
2023-12-10,EFT-MCR-202349-38,384.45
2023-12-03,EFT-COMM2-202348-46,878.26
2023-12-16,EFT-MCR-202350-12,416.09
2023-12-10,EFT-SELF-202349-84,0.0
2023-12-24,EFT-MCR-202351-97,465.87
2023-12-10,EFT-MCD-202349-20,282.35
2023-12-24,EFT-MCD-202351-49,171.94
2023-12-21,EFT-SELF-202351-87,0.0
2023-12-31,EFT-MCR-202352-40,310.76
2023-12-17,EFT-MCD-202350-57,72.64
2023-11-25,EFT-COMM2-202347-83,453.54
2023-12-23,EFT-COMM2-202351-99,181.08
2023-12-10,EFT-COMM2-202349-54,276.56
2023-12-14,EFT-SELF-202350-81,0.0
2023-12-10,EFT-COMM1-202349-17,719.01
2023-12-31,EFT-COMM2-202352-47,981.98
2023-12-15,EFT-COMM2-202350-99,283.15
2023-12-30,EFT-SELF-202352-14,0.0
2023-12-31,EFT-COMM1-202352-84,623.45
2024-01-21,EFT-COMM2-202403-42,709.52
