cpt_code,service_year,work_rvu,pe_rvu,mp_rvu,gpci,conversion_factor
71046,2023,0.22,0.264,0.022,1.0,33.89
71046,2024,0.22,0.264,0.022,1.0,33.29
71046,2025,0.22,0.264,0.022,1.0,32.35
71046,2026,0.2145,0.2574,0.0215,1.0,33.4
74018,2023,0.18,0.216,0.018,1.0,33.89
74018,2024,0.18,0.216,0.018,1.0,33.29
74018,2025,0.18,0.216,0.018,1.0,32.35
74018,2026,0.1755,0.2106,0.0175,1.0,33.4
73130,2023,0.17,0.204,0.017,1.0,33.89
73130,2024,0.17,0.204,0.017,1.0,33.29
73130,2025,0.17,0.204,0.017,1.0,32.35
73130,2026,0.1658,0.1989,0.0166,1.0,33.4
76700,2023,0.81,0.972,0.081,1.0,33.89
76700,2024,0.81,0.972,0.081,1.0,33.29
76700,2025,0.81,0.972,0.081,1.0,32.35
76700,2026,0.7898,0.9477,0.079,1.0,33.4
76770,2023,0.74,0.888,0.074,1.0,33.89
76770,2024,0.74,0.888,0.074,1.0,33.29
76770,2025,0.74,0.888,0.074,1.0,32.35
76770,2026,0.7215,0.8658,0.0721,1.0,33.4
70450,2023,0.85,1.02,0.085,1.0,33.89
70450,2024,0.85,1.02,0.085,1.0,33.29
70450,2025,0.85,1.02,0.085,1.0,32.35
70450,2026,0.8287,0.9945,0.0829,1.0,33.4
71250,2023,1.16,1.392,0.116,1.0,33.89
71250,2024,1.16,1.392,0.116,1.0,33.29
71250,2025,1.16,1.392,0.116,1.0,32.35
71250,2026,1.131,1.3572,0.1131,1.0,33.4
74177,2023,1.82,2.184,0.182,1.0,33.89
74177,2024,1.82,2.184,0.182,1.0,33.29
74177,2025,1.82,2.184,0.182,1.0,32.35
74177,2026,1.7745,2.1294,0.1775,1.0,33.4
72193,2023,1.09,1.308,0.109,1.0,33.89
72193,2024,1.09,1.308,0.109,1.0,33.29
72193,2025,1.09,1.308,0.109,1.0,32.35
72193,2026,1.0628,1.2753,0.1063,1.0,33.4
70553,2023,2.29,2.748,0.229,1.0,33.89
70553,2024,2.29,2.748,0.229,1.0,33.29
70553,2025,2.29,2.748,0.229,1.0,32.35
70553,2026,2.2327,2.6793,0.2233,1.0,33.4
72148,2023,1.48,1.776,0.148,1.0,33.89
72148,2024,1.48,1.776,0.148,1.0,33.29
72148,2025,1.48,1.776,0.148,1.0,32.35
72148,2026,1.443,1.7316,0.1443,1.0,33.4
73721,2023,1.35,1.62,0.135,1.0,33.89
73721,2024,1.35,1.62,0.135,1.0,33.29
73721,2025,1.35,1.62,0.135,1.0,32.35
73721,2026,1.3163,1.5795,0.1316,1.0,33.4
77067,2023,0.76,0.912,0.076,1.0,33.89
77067,2024,0.76,0.912,0.076,1.0,33.29
77067,2025,0.76,0.912,0.076,1.0,32.35
77067,2026,0.741,0.8892,0.0741,1.0,33.4
