_mock_label,cpt_code,service_year,work_rvu,conversion_factor,source_note
MOCK_RAD_GROUP_DEMO_ONLY,71045,2023,0.18,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71045,2024,0.18,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71045,2025,0.18,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71045,2026,0.1755,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71046,2023,0.22,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71046,2024,0.22,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71046,2025,0.22,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71046,2026,0.2145,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74018,2023,0.18,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74018,2024,0.18,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74018,2025,0.18,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,74018,2026,0.1755,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73130,2023,0.17,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73130,2024,0.17,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73130,2025,0.17,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,73130,2026,0.1658,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70450,2023,0.85,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70450,2024,0.85,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70450,2025,0.85,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70450,2026,0.8287,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70470,2023,1.13,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70470,2024,1.13,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70470,2025,1.13,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70470,2026,1.1017,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70486,2023,0.85,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70486,2024,0.85,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70486,2025,0.85,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70486,2026,0.8287,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70491,2023,1.28,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70491,2024,1.28,33.29,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70491,2025,1.28,32.35,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,70491,2026,1.248,31.54,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71250,2023,1.08,33.89,Public CMS MPFS (illustrative work RVU)
MOCK_RAD_GROUP_DEMO_ONLY,71250,2024,1.08,33.29,Public CMS MPFS (illustrative work RVU)
