_mock_label,post_date,value_date,description,transaction_type,amount,running_balance,bank_reference,eft_trace
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-12,2023-07-12,INTEREST CREDIT,CREDIT,33.15,25033.15,REF9851683,
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-18,2023-07-18,ACCOUNT ANALYSIS FEE,DEBIT,-66.41,24966.74,REF2525258,
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-18,2023-07-18,BOOK TRANSFER TO OPERATING 8841,DEBIT,-575.64,24391.1,REF4552983,
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-18,2023-07-18,RETURNED ITEM CHARGEBACK,DEBIT,-556.22,23834.88,REF5953656,
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-20,2023-07-20,ACH CREDIT PAYER REMIT EFT-UHC-20230717,CREDIT,61.3,23896.18,REF9185323,EFT-UHC-20230717
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-21,2023-07-21,ACH CREDIT PAYER REMIT EFT-SELFPAY-20230717,CREDIT,4.72,23900.9,REF6617581,EFT-SELFPAY-20230717
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-24,2023-07-24,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230724,CREDIT,220.66,24121.56,REF1071233,EFT-BCBSTN-20230724
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-24,2023-07-24,ACH CREDIT PAYER REMIT EFT-MCARE-20230724,CREDIT,86.48,24208.04,REF1714630,EFT-MCARE-20230724
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-25,2023-07-25,ACH CREDIT PAYER REMIT EFT-MCARE-20230724,CREDIT,114.72,24322.76,REF2297087,EFT-MCARE-20230724
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-25,2023-07-25,ACH CREDIT PAYER REMIT EFT-UHC-20230724,CREDIT,86.35,24409.11,REF9054284,EFT-UHC-20230724
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-30,2023-07-30,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230724,CREDIT,186.54,24595.65,REF1237026,EFT-BCBSTN-20230724
MOCK_RAD_GROUP_DEMO_ONLY,2023-07-31,2023-07-31,ACH CREDIT PAYER REMIT EFT-MCARE-20230731,CREDIT,61.58,24657.23,REF7237604,EFT-MCARE-20230731
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-01,2023-08-01,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230731,CREDIT,60.68,24717.91,REF4256078,EFT-BCBSTN-20230731
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-01,2023-08-01,ACH CREDIT PAYER REMIT EFT-CIGNA-20230731,CREDIT,115.44,24833.35,REF9908994,EFT-CIGNA-20230731
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-01,2023-08-01,ACH CREDIT PAYER REMIT EFT-MCARE-20230731,CREDIT,49.2,24882.55,REF5212737,EFT-MCARE-20230731
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-02,2023-08-02,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230731,CREDIT,153.3,25035.85,REF4480096,EFT-BCBSTN-20230731
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-02,2023-08-02,ACH CREDIT PAYER REMIT EFT-CIGNA-20230731,CREDIT,105.47,25141.32,REF6644317,EFT-CIGNA-20230731
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-03,2023-08-03,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230731,CREDIT,4.25,25145.57,REF1987843,EFT-TENNCARE-20230731
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-04,2023-08-04,ACH CREDIT PAYER REMIT EFT-UHC-20230731,CREDIT,74.04,25219.61,REF5087952,EFT-UHC-20230731
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-05,2023-08-05,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230731,CREDIT,71.08,25290.69,REF2886572,EFT-TENNCARE-20230731
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-06,2023-08-06,ACH CREDIT PAYER REMIT EFT-MCARE-20230731,CREDIT,66.25,25356.94,REF4515622,EFT-MCARE-20230731
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-06,2023-08-06,ACH CREDIT PAYER REMIT EFT-UHC-20230731,CREDIT,230.2,25587.14,REF8649634,EFT-UHC-20230731
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-07,2023-08-07,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230807,CREDIT,346.37,25933.51,REF4753441,EFT-BCBSTN-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-07,2023-08-07,ACH CREDIT PAYER REMIT EFT-CIGNA-20230807,CREDIT,117.94,26051.45,REF4463023,EFT-CIGNA-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-07,2023-08-07,ACH CREDIT PAYER REMIT EFT-MCARE-20230807,CREDIT,5.68,26057.13,REF2625598,EFT-MCARE-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-08,2023-08-08,ACH CREDIT PAYER REMIT EFT-MCARE-20230807,CREDIT,121.85,26178.98,REF7333144,EFT-MCARE-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-08,2023-08-08,ACH CREDIT PAYER REMIT EFT-SELFPAY-20230807,CREDIT,11.5,26190.48,REF7747517,EFT-SELFPAY-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-08,2023-08-08,ACH CREDIT PAYER REMIT EFT-UHC-20230807,CREDIT,139.61,26330.09,REF1080928,EFT-UHC-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-09,2023-08-09,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230807,CREDIT,226.76,26556.85,REF3371868,EFT-BCBSTN-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-09,2023-08-09,ACH CREDIT PAYER REMIT EFT-SELFPAY-20230807,CREDIT,0.59,26557.44,REF8914357,EFT-SELFPAY-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-10,2023-08-10,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230807,CREDIT,62.29,26619.73,REF8093523,EFT-BCBSTN-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-10,2023-08-10,ACH CREDIT PAYER REMIT EFT-MCARE-20230807,CREDIT,34.98,26654.71,REF9408929,EFT-MCARE-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-11,2023-08-11,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230807,CREDIT,131.63,26786.34,REF9799935,EFT-BCBSTN-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-11,2023-08-11,ACH CREDIT PAYER REMIT EFT-CIGNA-20230807,CREDIT,49.19,26835.53,REF9967675,EFT-CIGNA-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-11,2023-08-11,ACH CREDIT PAYER REMIT EFT-MCARE-20230807,CREDIT,114.37,26949.9,REF1370751,EFT-MCARE-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-11,2023-08-11,ACH CREDIT PAYER REMIT EFT-UHC-20230807,CREDIT,22.81,26972.71,REF3259869,EFT-UHC-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-12,2023-08-12,ACH CREDIT PAYER REMIT EFT-CIGNA-20230807,CREDIT,69.52,27042.23,REF8337146,EFT-CIGNA-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-12,2023-08-12,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230807,CREDIT,15.74,27057.97,REF9213590,EFT-TENNCARE-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-13,2023-08-13,ACH CREDIT PAYER REMIT EFT-MCARE-20230807,CREDIT,65.24,27123.21,REF8765619,EFT-MCARE-20230807
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-14,2023-08-14,ACH CREDIT PAYER REMIT EFT-BCBSTN-20230814,CREDIT,139.23,27262.44,REF6519526,EFT-BCBSTN-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-14,2023-08-14,ACH CREDIT PAYER REMIT EFT-CIGNA-20230814,CREDIT,54.01,27316.45,REF8741603,EFT-CIGNA-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-14,2023-08-14,ACH CREDIT PAYER REMIT EFT-MCARE-20230814,CREDIT,97.48,27413.93,REF8365145,EFT-MCARE-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-14,2023-08-14,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230814,CREDIT,17.92,27431.85,REF3691043,EFT-TENNCARE-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-14,2023-08-14,ACH CREDIT PAYER REMIT EFT-UHC-20230814,CREDIT,284.39,27716.24,REF6165964,EFT-UHC-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-15,2023-08-15,ACH CREDIT PAYER REMIT EFT-MCARE-20230814,CREDIT,90.76,27807.0,REF1604320,EFT-MCARE-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-15,2023-08-15,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230814,CREDIT,60.44,27867.44,REF8929116,EFT-TENNCARE-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-16,2023-08-16,ACH CREDIT PAYER REMIT EFT-MCARE-20230814,CREDIT,41.7,27909.14,REF1429860,EFT-MCARE-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-16,2023-08-16,ACH CREDIT PAYER REMIT EFT-UHC-20230814,CREDIT,140.79,28049.93,REF3566437,EFT-UHC-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-17,2023-08-17,ACH CREDIT PAYER REMIT EFT-MCARE-20230814,CREDIT,134.24,28184.17,REF8874328,EFT-MCARE-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-17,2023-08-17,ACH CREDIT PAYER REMIT EFT-TENNCARE-20230814,CREDIT,38.76,28222.93,REF7908266,EFT-TENNCARE-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-17,2023-08-17,ACH CREDIT PAYER REMIT EFT-UHC-20230814,CREDIT,59.25,28282.18,REF6096103,EFT-UHC-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-18,2023-08-18,ACH CREDIT PAYER REMIT EFT-CIGNA-20230814,CREDIT,112.69,28394.87,REF3625391,EFT-CIGNA-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-18,2023-08-18,ACH CREDIT PAYER REMIT EFT-MCARE-20230814,CREDIT,39.37,28434.24,REF6437496,EFT-MCARE-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-18,2023-08-18,ACCOUNT ANALYSIS FEE,DEBIT,-70.4,28363.84,REF6744830,
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-18,2023-08-18,BOOK TRANSFER TO OPERATING 8841,DEBIT,-4278.99,24084.85,REF7453895,
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-19,2023-08-19,ACH CREDIT PAYER REMIT EFT-MCARE-20230814,CREDIT,29.67,24114.52,REF9511035,EFT-MCARE-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-20,2023-08-20,ACH CREDIT PAYER REMIT EFT-UHC-20230814,CREDIT,143.64,24258.16,REF4712658,EFT-UHC-20230814
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-21,2023-08-21,ACH CREDIT PAYER REMIT EFT-CIGNA-20230821,CREDIT,63.49,24321.65,REF7732021,EFT-CIGNA-20230821
MOCK_RAD_GROUP_DEMO_ONLY,2023-08-21,2023-08-21,ACH CREDIT PAYER REMIT EFT-MCARE-20230821,CREDIT,43.51,24365.16,REF9318241,EFT-MCARE-20230821
