_mock_label,rendering_npi,provider_name,subspecialty
MOCK_RAD_GROUP_DEMO_ONLY,1964908795,Dr. Smith,Body
MOCK_RAD_GROUP_DEMO_ONLY,1962535652,Dr. Johnson,Neuro
MOCK_RAD_GROUP_DEMO_ONLY,1959461826,Dr. Williams,MSK
MOCK_RAD_GROUP_DEMO_ONLY,1916490349,Dr. Brown,Chest
MOCK_RAD_GROUP_DEMO_ONLY,1955048716,Dr. Jones,Abdominal
MOCK_RAD_GROUP_DEMO_ONLY,1913469133,Dr. Garcia,Neuro
MOCK_RAD_GROUP_DEMO_ONLY,1966910905,Dr. Miller,Body
MOCK_RAD_GROUP_DEMO_ONLY,1971002313,Dr. Davis,Breast
MOCK_RAD_GROUP_DEMO_ONLY,1972540817,Dr. Rodriguez,Nuclear
MOCK_RAD_GROUP_DEMO_ONLY,1952072736,Dr. Martinez,Vascular
MOCK_RAD_GROUP_DEMO_ONLY,1940109921,Dr. Hernandez,Body
MOCK_RAD_GROUP_DEMO_ONLY,1915641870,Dr. Lopez,Neuro
MOCK_RAD_GROUP_DEMO_ONLY,1994045895,Dr. Wilson,MSK
MOCK_RAD_GROUP_DEMO_ONLY,1959974817,Dr. Anderson,Chest
MOCK_RAD_GROUP_DEMO_ONLY,1965765737,Dr. Thomas,Breast
MOCK_RAD_GROUP_DEMO_ONLY,1923172884,Dr. Pittman,Body
MOCK_RAD_GROUP_DEMO_ONLY,1971940217,Dr. Hutchins,Abdominal
MOCK_RAD_GROUP_DEMO_ONLY,1928147178,Dr. Beauregard,Neuro
MOCK_RAD_GROUP_DEMO_ONLY,1938160219,Dr. Maclin,Pediatric
MOCK_RAD_GROUP_DEMO_ONLY,1989071513,Dr. Ng,Body
