deposit_date,eft_trace,amount,description
2025-01-17,EFT20250117019,397,PAYER EFT
2025-01-19,EFT20250119011,64.7,PAYER EFT
2025-01-20,EFT20250120013,75.15,PAYER EFT
2025-01-20,EFT20250120031,149.46,PAYER EFT
2025-01-21,EFT20250121038,62.11,PAYER EFT
2025-01-22,EFT20250122038,33.65,PAYER EFT
2025-01-23,EFT20250123000,64.7,PAYER EFT
2025-01-23,EFT20250123019,113.23,PAYER EFT
2025-01-24,EFT20250124014,42.06,PAYER EFT
2025-01-24,EFT20250124034,388.2,PAYER EFT
2025-01-25,EFT20250125017,29.89,PAYER EFT
2025-01-25,EFT20250125019,444.1,PAYER EFT
2025-01-25,EFT20250125027,52.15,PAYER EFT
2025-01-26,EFT20250126002,219.66,PAYER EFT
2025-01-26,EFT20250126005,112.32,PAYER EFT
2025-01-26,EFT20250126019,65.27,PAYER EFT
2025-01-26,EFT20250126025,226.45,PAYER EFT
2025-01-27,EFT20250127003,106.89,PAYER EFT
2025-01-27,EFT20250127004,133.61,PAYER EFT
2025-01-27,EFT20250127012,98.34,PAYER EFT
2025-01-28,EFT20250128007,407.93,PAYER EFT
2025-01-28,EFT20250128013,64.7,PAYER EFT
2025-01-29,EFT20250129006,70.2,PAYER EFT
2025-01-29,EFT20250129007,196.43,PAYER EFT
2025-01-29,EFT20250129010,67.29,PAYER EFT
2025-01-29,EFT20250129012,40.79,PAYER EFT
2025-01-30,EFT20250130025,64.7,PAYER EFT
2025-01-31,EFT20250131001,56.61,PAYER EFT
2025-01-31,EFT20250131007,44.97,PAYER EFT
2025-01-31,EFT20250131009,87.86,PAYER EFT
2025-01-31,EFT20250131014,47.23,PAYER EFT
2025-01-31,EFT20250131020,74.73,PAYER EFT
2025-01-31,EFT20250131035,64.7,PAYER EFT
2025-01-31,EFT20250131038,33.65,PAYER EFT
2025-02-01,EFT20250201000,29.89,PAYER EFT
2025-02-01,EFT20250201015,99.25,PAYER EFT
2025-02-01,EFT20250201019,93.94,PAYER EFT
2025-02-01,EFT20250201024,27.33,PAYER EFT
2025-02-01,EFT20250201038,65.59,PAYER EFT
2025-02-02,EFT20250202029,53.44,PAYER EFT
2025-02-02,EFT20250202038,113.23,PAYER EFT
2025-02-03,EFT20250203001,40.79,PAYER EFT
2025-02-03,EFT20250203004,66.8,PAYER EFT
2025-02-03,EFT20250203012,704.59,PAYER EFT
2025-02-03,EFT20250203014,34.2,PAYER EFT
2025-02-03,EFT20250203019,56.94,PAYER EFT
2025-02-03,EFT20250203025,65.59,PAYER EFT
2025-02-04,EFT20250204010,25.88,PAYER EFT
2025-02-04,EFT20250204013,86.47,PAYER EFT
2025-02-05,EFT20250205001,52.15,PAYER EFT
2025-02-05,EFT20250205003,226.45,PAYER EFT
2025-02-05,EFT20250205009,122.93,PAYER EFT
2025-02-05,EFT20250205024,47.49,PAYER EFT
2025-02-05,EFT20250205027,162.27,PAYER EFT
2025-02-05,EFT20250205036,148.81,PAYER EFT
2025-02-06,EFT20250206005,40.79,PAYER EFT
2025-02-06,EFT20250206008,52.15,PAYER EFT
2025-02-06,EFT20250206009,267.21,PAYER EFT
2025-02-06,EFT20250206021,332.87,PAYER EFT
2025-02-06,EFT20250206030,49.69,PAYER EFT
2025-02-06,EFT20250206035,420.55,PAYER EFT
2025-02-06,EFT20250206037,14.04,PAYER EFT
2025-02-06,EFT20250206038,218.62,PAYER EFT
2025-02-07,EFT20250207030,62.11,PAYER EFT
2025-02-07,EFT20250207036,307.46,PAYER EFT
2025-02-08,EFT20250208008,496.25,PAYER EFT
2025-02-08,EFT20250208023,42.06,PAYER EFT
2025-02-08,EFT20250208027,407.93,PAYER EFT
2025-02-08,EFT20250208032,67.29,PAYER EFT
2025-02-08,EFT20250208034,67.29,PAYER EFT
2025-02-09,EFT20250209004,725.93,PAYER EFT
2025-02-09,EFT20250209007,87.86,PAYER EFT
2025-02-09,EFT20250209017,162.27,PAYER EFT
2025-02-09,EFT20250209018,16.05,PAYER EFT
2025-02-09,EFT20250209035,44.97,PAYER EFT
2025-02-10,EFT20250210000,16.05,PAYER EFT
2025-02-10,EFT20250210001,60.25,PAYER EFT
2025-02-10,EFT20250210005,115.33,PAYER EFT
2025-02-10,EFT20250210006,98.34,PAYER EFT
2025-02-10,EFT20250210009,49.69,PAYER EFT
2025-02-10,EFT20250210011,640.53,PAYER EFT
2025-02-10,EFT20250210013,1099.9,PAYER EFT
2025-02-10,EFT20250210015,51.76,PAYER EFT
2025-02-10,EFT20250210021,113.23,PAYER EFT
2025-02-10,EFT20250210022,99.25,PAYER EFT
2025-02-10,EFT20250210025,92.26,PAYER EFT
2025-02-10,EFT20250210027,37.78,PAYER EFT
