cpt_code,service_year,work_rvu,conversion_factor
99213,2025,1.3,32.35
99214,2025,1.92,32.35
99204,2025,2.6,32.35
99232,2025,1.39,32.35
99233,2025,2,32.35
99223,2025,3.5,32.35
99284,2025,2.6,32.35
99285,2025,3.8,32.35
93306,2025,1.3,32.35
93351,2025,1.75,32.35
93312,2025,2.2,32.35
78452,2025,1.46,32.35
78451,2025,1.12,32.35
93880,2025,0.8,32.35
93970,2025,0.7,32.35
93458,2025,5.75,32.35
93460,2025,7,32.35
92928,2025,10.9,32.35
92941,2025,13,32.35
93653,2025,15,32.35
93656,2025,17,32.35
33208,2025,9,32.35
93289,2025,0.74,32.35
36415,2025,0,32.35
